Posición,Total_Moves_a_Mate
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Dama esquina,1
Mate en 1 - Torre séptima,5
Mate en 1 - Torre séptima,5
Mate en 1 - Torre séptima,9
Mate en 1 - Torre séptima,5
Mate en 1 - Torre séptima,5
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Dama lateral,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Torre banda,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 1 - Dos torres,1
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - Basic 1,2
Mate en 2 - R vs K,5
Mate en 2 - R vs K,7
Mate en 2 - R vs K,7
Mate en 2 - R vs K,5
Mate en 2 - R vs K,5
Mate en 2 - R vs K,5
Mate en 2 - R vs K,7
Mate en 2 - R vs K,5
Mate en 2 - R vs K,7
Mate en 3 - ejemplo,10
Promotion tactic,3
Promotion tactic,2
Promotion tactic,4
Promotion tactic,9
Promotion tactic,2
Promotion tactic,4
Promotion tactic,3
Promotion tactic,2
Promotion tactic,4
Complex mid-endgame,5
Complex mid-endgame,9
Complex mid-endgame,7
